Designator,Mid X,Mid Y,Layer,Rotation
C1,14.10,26.54,Top,0.0
C2,33.20,30.86,Top,0.0
C3,28.25,18.54,Top,0.0
C4,29.14,30.86,Top,0.0
C5,64.64,38.10,Top,0.0
C6,35.94,34.80,Top,0.0
C7,43.11,38.27,Top,0.0
C10,13.59,32.64,Top,0.0
C11,29.21,34.80,Top,180.0
C12,20.20,22.70,Top,0.0
C13,22.90,34.80,Top,0.0
C20,12.51,38.48,Top,270.0
C21,30.35,38.99,Top,270.0
D1,27.18,40.77,Top,90.0
D2, 5.74,22.40,Top,0.0
D3, 5.76,20.03,Top,0.0
F1,15.24,29.21,Top,0.0
L2,21.72,40.51,Top,90.0
Q1,19.20,26.30,Top,90.0
R1,14.02,22.68,Top,0.0
R2,13.96,19.75,Top,0.0
R3,22.60,26.30,Top,270.0
R4,21.30,29.80,Top,0.0
R5,36.96,24.77,Top,270.0
R20,15.62,44.32,Top,0.0
R21,18.77,36.52,Top,0.0
R22,11.05,44.26,Top,0.0
R23,11.05,42.04,Top,0.0
U2,29.64,24.64,Top,0.0
U4,15.88,41.15,Top,90.0
